id,product_series,product_name,manufacturer,product_type,supported_protocols
934,Xmeter,Xmeter,Energy Team,Power Meters,modbus
935,EC-100 Series,ECR180D,Hager,Power Meters,modbus
936,Tmax XT5,Tmax XT5 & Ekip Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
937,Emax,Emax w. PR332/P-LI MM,ABB,Circuit Breakers,modbus
938,Tmax XT5,Tmax XT5 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
939,COUNTIS,E63,Socomec,Power Meters,modbus
940,Tmax XT2,Tmax XT2 & Ekip Z-LS & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
941,SIRAX,BM1450,Camille Bauer,Power Meters,modbus
942,EPM,5350,General Electric,Power Meters,modbus
943,IZMX,IZMX 40 & PXR 20 & CAM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
944,SIRAX,BM1400,Camille Bauer,Power Meters,modbus
945,PowerXL,DC1…E1,Eaton,Variable Frequency Drives,modbus
946,Emax,Emax & PR113/PD & PR113/PD-M,ABB,Circuit Breakers,modbus
947,Tmax XT7,Tmax XT7 & Ekip G Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
948,PowerFlex,523 (MultiDrive),Rockwell Automation,Variable Frequency Drives,ethernet-ip
949,ACS,600,ABB,Variable Frequency Drives,modbus
950,DPM,C520,Delta Electronics,Power Meters,modbus
951,Sepam,Series 20,Schneider Electric,Protection Relays,modbus
952,ME96,SSHA,Mitsubishi,Power Meters,modbus
953,Power Tag,Acti 9 Smartlink SI-D,Schneider Electric,Power Meters,modbus
954,PowerLogic,ION7600,Schneider Electric,Power Meters,modbus
955,F-PRO,297,ERL,Protection Relays,modbus
956,H,Green Class Net Meter,Honeywell,Power Meters,modbus
957,RX2,RX2,Omron,Variable Frequency Drives,modbus
958,PAC,4200,Siemens,Power Meters,modbus
959,COUNTIS,E34,Socomec,Power Meters,modbus
960,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
