id,product_series,product_name,manufacturer,product_type,supported_protocols
1520,Tmax XT2,Tmax XT2 & TMG & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1521,Power Xpert Meter,PXM6000,Eaton,Power Meters,modbus
1522,T-PRO,4500,ERL,Protection Relays,modbus
1523,9900,C,Mitsubishi,Uninterruptible Power Supplies,modbus
1524,NRX,NRX & Digitrip 1150 & mMint,Eaton,Circuit Breakers,modbus
1525,DSII,DSII & Digitrip OPTIM 1050 & mMint,Eaton,Circuit Breakers,modbus
1526,Altivar Series,Altivar 38,Schneider Electric,Variable Frequency Drives,modbus
1527,Tmax XT4,Tmax XT4 & TMD & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1528,Tmax XT7 M,Tmax XT7 M & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1529,E-Pumps,11-22 kW w. Sensor,Grundfos,Motors & Pumps,modbus
1530,Tmax XT4,Tmax XT4 & Ekip N-LS/I & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1531,UR,M60,General Electric,Protection Relays,modbus
1532,Tmax XT4,Tmax XT4 & Ekip LSI & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
1533,Access,9810,Siemens,Power Meters,modbus
1534,Liebert,NXR,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1535,Variable speed drives,SpeedStar,Schlumberger,Variable Frequency Drives,modbus
1536,G200,G240,Galt Electric,Variable Frequency Drives,modbus
1537,DIRIS,A-30,Socomec,Power Meters,modbus
1538,PMC,53-V,CET,Power Meters,modbus
1539,MiCOM,P22x,Schneider Electric,Protection Relays,modbus
1540,Tmax XT7,Tmax XT7 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1541,DSL,DSL & Digitrip RMS 810 & mMint,Eaton,Circuit Breakers,modbus
1542,C,2000,Delta Electronics,Variable Frequency Drives,modbus
1543,Series G,Series G & Digitrip RMS 310+ & PM3,Eaton,Circuit Breakers,modbus
1544,IZMX,IZMX 40 & PXR 25,Eaton,Circuit Breakers,modbus
1545,Nemo,D4-L+,IME,Power Meters,modbus
1546,Easergy-P5,M30,Schneider Electric,Protection Relays,modbus
1547,Integra,1000,TE Connectivity,Power Meters,modbus
1548,DRM,125,TE Connectivity,Power Meters,modbus
1549,PD,PD & PXR 20,Eaton,Circuit Breakers,modbus
1550,ComPact NS,Micrologic Type A,Schneider Electric,Circuit Breakers,modbus
1551,Data Centre and Facility UPS,Power-Xpert-9395,Eaton,Uninterruptible Power Supplies,modbus
1552,M Family,MIV-3000,General Electric,Protection Relays,modbus
1553,EC-100 Series,ECR181D,Hager,Power Meters,modbus
1554,PowerXL,DH1,Eaton,Variable Frequency Drives,modbus
1555,Countis,E43,Socomec,Power Meters,modbus
1556,Tmax XT7,Tmax XT7 & Ekip G Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1557,Tmax XT5,Tmax XT5 & TMG & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1558,MiCOM,P821,Schneider Electric,Protection Relays,modbus
1559,Relion 620 series,REF 620,ABB,Protection Relays,modbus
1560,IZMX,IZMX 40 & PXR 20,Eaton,Circuit Breakers,modbus
1561,CENTRAX,CU5000,Camille Bauer,Power Meters,modbus
1562,ACL,30,ABB,Variable Frequency Drives,modbus
1563,ACS,310,ABB,Variable Frequency Drives,modbus
1564,3VA,3VA ETU 500,Siemens,Circuit Breakers,modbus
1565,Integra,CI3,TE Connectivity,Power Meters,modbus
1566,1600,XP/XPi,Toshiba,Uninterruptible Power Supplies,modbus
1567,"TP,TPE",TPED,Grundfos,Motors & Pumps,modbus
1568,IZMX,IZMX 40 & PXR 20,Eaton,Circuit Breakers,modbus
1569,VLT AutomationDrive,FC 302,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1570,PowerLogic,PM3000,Schneider Electric,Power Meters,modbus
1571,UMG,20CM,Janitza,Power Meters,modbus
1572,Sepam,Series 20,Schneider Electric,Protection Relays,modbus
1573,PowerLogic,Acti9 Smartlink SI D,Schneider Electric,Power Meters,modbus
1574,PMC,53A,CET,Power Meters,modbus
1575,Magnum IEC,Magnum IEC & Digitrip RMS 520MC & mMint,Eaton,Circuit Breakers,modbus
1576,Liebert,EPM,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1577,Galaxy,300,Schneider Electric,Uninterruptible Power Supplies,modbus
1578,Tmax XT5,Tmax XT5 & Ekip G Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1579,Altivar Series,Altivar 312,Schneider Electric,Variable Frequency Drives,modbus
1580,Vacon,100X,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1581,Tmax XT4,Tmax XT4 & Ekip LSIG & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1582,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1583,B-PRO,8701,ERL,Protection Relays,modbus
1584,Data Centre and Facility UPS,93E,Eaton,Uninterruptible Power Supplies,modbus
1585,AcuDC,241,Accuenergy,Power Meters,modbus
1586,SINEAX,A230-A230s,Camille Bauer,Power Meters,modbus
1587,Magnum IEC,Magnum IEC & Digitrip RMS 1150 & mMint,Eaton,Circuit Breakers,modbus
1588,Integra,1630,TE Connectivity,Power Meters,modbus
1589,Proline t-mass,65,Endress Hauser,Gas Flow Meters,modbus
1590,UR,D30,General Electric,Protection Relays,modbus
1591,VLT Aqua Drive,FC 202,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1592,Sinamics,GH150,Siemens,Variable Frequency Drives,ethernet-ip
1593,PBM,B,Fanox,Protection Relays,modbus
1594,PowerXL,DE1-1,Eaton,Variable Frequency Drives,ethernet-ip
1595,EMR,3000,Eaton,Protection Relays,modbus
1596,IZMX,IZMX 16 & PXR 25,Eaton,Circuit Breakers,modbus
1597,VSS,23,Emotron,Variable Frequency Drives,modbus
1598,Tmax XT2,Tmax XT2 & TMG & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1599,DIRIS Digiware,I-60,Socomec,Power Meters,modbus
1600,PowerFlex,700,Rockwell Automation,General Purpose AC Drives,modbus
1601,EC-300 Series,ECA300C,Hager,Power Meters,modbus
1602,Eco-Power Meter,KW2M-X,Panasonic,Power Meters,modbus
1603,PMC,53A-E,CET,Power Meters,modbus
1604,Tmax XT2,Tmax XT2 & Ekip G Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1605,PowerFlex,DC-Drive,Rockwell Automation,Variable Frequency Drives,modbus
1606,Tmax XT4,Tmax XT4 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1607,Nemo,96HD,IME,Power Meters,modbus
1608,Tmax XT2,Tmax XT2 & Ekip Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1609,Easergy-P5,V20,Schneider Electric,Protection Relays,modbus
1610,DPM,C530E,Delta Electronics,Power Meters,modbus
1611,IZMX,IZMX 16 & PXR 20,Eaton,Circuit Breakers,modbus
1612,Tmax XT5,Tmax XT5 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1613,IM,300,ABB,Power Meters,modbus
1614,PowerFlex,755,Rockwell Automation,Variable Frequency Drives,ethernet-ip
1615,Tmax XT7,Tmax XT7 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1616,PowerLogic,EM4800,Schneider Electric,Power Meters,modbus
1617,SPR,13,TE Connectivity,Protection Relays,modbus
1618,EC-100 Series,ECR180T,Hager,Power Meters,modbus
1619,UR,F60,General Electric,Protection Relays,modbus
1620,EPM,4600-T,General Electric,Power Meters,modbus
1621,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1622,Affinity,BAMD,Control Techniques,Variable Frequency Drives,modbus
1623,Ultraflo,U1000MKII-HM,Micronics,Heat Meters,modbus
1624,DSLII,DSLII & Digitrip RMS 910 & PXG,Eaton,Circuit Breakers,modbus
1625,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1626,Tmax XT7,Tmax XT7 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1627,ME96,SSEA,Mitsubishi,Power Meters,modbus
1628,DSL,DSL & Digitrip RMS 810 & PXG,Eaton,Circuit Breakers,modbus
1629,PMC,340B,CET,Power Meters,modbus
1630,Altivar Series,Altivar 630,Schneider Electric,Variable Frequency Drives,modbus
1631,CFW,701,WEG,Variable Frequency Drives,modbus
1632,Sinamics,G150,Siemens,Variable Frequency Drives,modbus | ethernet-ip
1633,Tmax XT4,Tmax XT4 & TMD & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1634,Magnum DS,Magnum DS & Digitrip RMS 1150 & PXG,Eaton,Circuit Breakers,modbus
1635,SINEAX,CAM,Camille Bauer,Power Meters,modbus
1636,MIG,P,General Electric,Protection Relays,modbus
1637,8_Series,850-D,General Electric,Protection Relays,modbus
1638,EntelliGuard,HPC,ABB,Circuit Breakers,modbus
1639,L,L1000A,Omron,Variable Frequency Drives,modbus
1640,Tmax XT7 M,Tmax XT7 M & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1641,PMC,630-B,CET,Power Meters,modbus
1642,ME96,SSE,Mitsubishi,Power Meters,modbus
1643,Unidrive,M300-Modified,Control Techniques,Variable Frequency Drives,modbus
1644,PowerLogic,ION8600,Schneider Electric,Power Meters,modbus
1645,UMG,103/103-CBM,Janitza,Power Meters,modbus
1646,Marine and Industrial UPS,9355M/9155M,Eaton,Uninterruptible Power Supplies,modbus
1647,Freesun,LVT,Power Electronics,Solar Inverters,modbus
1648,M,MIW,General Electric,Protection Relays,modbus
1649,PowerLogic,Acti9 iEM2000,Schneider Electric,Power Meters,modbus
1650,IZMX,IZMX 16 & PXR 25,Eaton,Circuit Breakers,modbus
1651,PGR,6150,Littelfuse,Protection Relays,modbus
1652,Acti9 iEM3000,iEM3300,Schneider Electric,Power Meters,modbus
1653,DSLII,DSLII & Digitrip RMS 810 & PXG,Eaton,Circuit Breakers,modbus
1654,Tmax XT7 M,Tmax XT7 M & Ekip G Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1655,Eco-Power Meter,KW2M-X,Panasonic,Power Meters,modbus
1656,Sentron,3WL-COM16-Meter function plus,Siemens,Circuit Breakers,modbus
1657,Acuvim,EL,Accuenergy,Power Meters,modbus
1658,Emax DC,Emax DC & PR123/DC & PR120/D-M,ABB,Circuit Breakers,modbus
1659,CENTRAX,CU5000,Camille Bauer,Power Meters,modbus
1660,VFD for Commercial Applications,EVC (Modified Addressing),Emerson,Variable Frequency Drives,modbus
1661,MiCOM,P92x,Schneider Electric,Protection Relays,modbus
1662,Tmax XT2,Tmax XT2 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1663,PowerLogic,BCPMSC-B,Schneider Electric,Power Meters,modbus
1664,3VA,3VA ETU 800,Siemens,Circuit Breakers,modbus
1665,PowerLogic,BCPM,Schneider Electric,Power Meters,modbus
1666,Tmax XT2,Tmax XT2 & Ekip LS/I & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1667,PowerLogic,BCPMSC-C,Schneider Electric,Power Meters,modbus
1668,DSII,DSII & Digitrip RMS 810 & PXG,Eaton,Circuit Breakers,modbus
1669,UR,C95,General Electric,Protection Relays,modbus
1670,PMC,53M,CET,Power Meters,modbus
1671,NRX,NRX NF Frame,Eaton,Circuit Breakers,modbus
1672,Tmax XT7 M,Tmax XT7 M & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1673,Tmax XT5,Tmax XT5 & Ekip G Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1674,Altivar Series,Altivar 680,Schneider Electric,Variable Frequency Drives,modbus
1675,FIE series,FIE1,Vtdrive,Variable Frequency Drives,modbus
1676,PowerLogic,Energy Meter,Square D,Power Meters,modbus
1677,Nemo,96HDe,IME,Power Meters,modbus
1678,E-Pumps,11-22 kW,Grundfos,Motors & Pumps,modbus
1679,VS10,VS10,Emotron,Variable Frequency Drives,modbus
1680,Eco-Power Meter,KW9M,Panasonic,Power Meters,modbus
1681,Emax VF,Emax VF & PR 122/VF & PR120/D-M,ABB,Circuit Breakers,modbus
1682,ComAp,IGS-NT,Comap Control,Heat Meters,modbus
1683,Tmax XT2,Tmax XT2 & Ekip LSI & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
1684,UMC,UMC 100.3,ABB,Circuit Breakers,modbus
1685,Liebert,EXS,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1686,SX-V,SX-V,Omron,Variable Frequency Drives,modbus
1687,Adjustable Speed Drives,Q9+,Toshiba,Variable Frequency Drives,modbus
1688,GEH,GEH Concentrator,General Electric,Circuit Breakers,modbus
